object	parent_dir	type_obj	size
controller_ps5_wasd.vdf	\templates	file	19058
controller_switch_joycon_left_gamepad_joystick.vdf	\templates	file	8525
controller_switch_joycon_right_gamepad_joystick.vdf	\templates	file	8171
controller_switch_pro_gamepad_flickstick.vdf	\templates	file	15577
controller_switch_pro_gamepad_joystick.vdf	\templates	file	12982
controller_switch_pro_wasd.vdf	\templates	file	18898
controller_xbox360_gamepad_fps.vdf	\templates	file	12794
controller_xbox360_gamepad_joystick.vdf	\templates	file	12794
controller_xbox360_wasd.vdf	\templates	file	18709
controller_xboxone_gamepad_fps.vdf	\templates	file	13168
controller_xboxone_gamepad_joystick.vdf	\templates	file	13340
controller_xboxone_wasd.vdf	\templates	file	19266
gamepad+mouse.vdf	\templates	file	13178
gamepad_fps.vdf	\templates	file	10186
gamepad_joystick.vdf	\templates	file	8708
gamepad_mouse_gyro.vdf	\templates	file	6278
wasd.vdf	\templates	file	13043
dark	\images\api	directory	2686035
knockout	\images\api	directory	2119282
light	\images\api	directory	2233651
ps4_button_logo.svg	\images\api\dark	file	1657
ps4_button_logo_lg.png	\images\api\dark	file	6832
ps4_button_logo_md.png	\images\api\dark	file	3609
ps4_button_logo_sm.png	\images\api\dark	file	1117
ps4_button_options.svg	\images\api\dark	file	4344
ps4_button_options_lg.png	\images\api\dark	file	4708
ps4_button_options_md.png	\images\api\dark	file	2380
ps4_button_options_sm.png	\images\api\dark	file	615
ps4_button_share.svg	\images\api\dark	file	2364
ps4_button_share_lg.png	\images\api\dark	file	4118
ps4_button_share_md.png	\images\api\dark	file	2185
ps4_button_share_sm.png	\images\api\dark	file	660
ps4_l1.svg	\images\api\dark	file	437
ps4_l1_lg.png	\images\api\dark	file	2189
ps4_l1_md.png	\images\api\dark	file	1191
ps4_l1_sm.png	\images\api\dark	file	471
ps4_l2.svg	\images\api\dark	file	1006
ps4_l2_lg.png	\images\api\dark	file	3922
ps4_l2_md.png	\images\api\dark	file	2112
ps4_l2_sm.png	\images\api\dark	file	702
ps4_l2_soft.svg	\images\api\dark	file	1215
ps4_l2_soft_lg.png	\images\api\dark	file	4488
ps4_l2_soft_md.png	\images\api\dark	file	2395
ps4_l2_soft_sm.png	\images\api\dark	file	794
ps4_r1.svg	\images\api\dark	file	885
ps4_r1_lg.png	\images\api\dark	file	2915
ps4_r1_md.png	\images\api\dark	file	1559
ps4_r1_sm.png	\images\api\dark	file	535
